,type,start,duration,timeline,filepath,frequency,text,stop,language,split,movie,chunk,subject,study,offset,context,sentence,sentence_char
0,Video,0.0,718.75,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e02a_run-0,/Users/ricardo/Documents/GitHub/algonauts-2025/algonauts2025/download/algonauts_2025.competitors/stimuli/movies/friends/s1/friends_s01e02a.mkv,29.97002997002997,,718.75,,train,movie:1,chunk:e02a,Algonauts2025/sub-01,Algonauts2025,0.0,,,
1,Fmri,0.0,718.18,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e02a_run-0,method:_load_fmri?timeline=Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e02a_run-0,0.6711409395973155,,718.18,,train,movie:1,chunk:e02a,Algonauts2025/sub-01,Algonauts2025,,,,
2,Text,0.33,711.6399999999999,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e02a_run-0,,,"You. What you guys don't understand is, for us, kissing is as important as any part of it. Right. Serious? Oh, yeah. Everything you need to know is in that first kiss. Absolutely. Yeah, I think for us, kissing is pretty much like an opening act, you know? I mean, it's like the stand up comedian you have to sit through before Pink Floyd comes out. Yeah, and it's not that we don't like the comedian. It's just that that's not why we bought the ticket. You see, the problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again. We're in the car, we're fighting traffic. Basically just trying to stay awake. Yeah, well, word of advice bring back the comedian. Otherwise, next time, you're going to find yourself sitting at home listening to that album alone. Are we still talking about sex? No, it's good. It it is good. It's just that doesn't she seem a little angry? Well, she has issues. Does she? Trying to live with Mr. Hay. I'm evolving. Banging other women over the head with a club while she sits at home trying to get the mastodon smell out of the carpet. Marsha, these are cave people, okay? They have issues. Like, gee, that glacier is getting kind of close. See? Speaking of issues, isn't that your ex wife? No. Yes, it is. Carol, hi. Yes, it is. How about I'll catch up with you in the Ice Age? Can I stay? That would be no. Is this a bad time? No, it's it's it's the Stone Age. You look great. I I hate that. Sorry. Thanks. You look good, too. Well, in here, anyone who stands a wreck. So, what's new? Still a lesbian? Well, you never know. How's the family? Marty's still totally paranoid. Oh, and why are you here, Carol? I'm pregnant. Pregnant? Looks like she didn't leave in such a hurry after all. Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding. Then I've already seen this one. Are you through with that? Yeah, sorry. The swallowing slowed me down. Whose little ball of paper is this? Oh, that would be mine. See, I wrote a note to myself, and then I realized I didn't need the note, so I balled it up, and now I wish I was dead. She already flipped that pillow. Monica, you know, you already flipped, but it's fine. Look, I'm sorry, guys. I just don't want to give them any more ammunition than they already have. Yes, and we all know how cruel a parent can be about the flatness of a child's pillow. Would you relax? You do this every time they come. The place looks great. You got a beautiful lasagna here that looks good enough to avoid touching. Monica. Hi. Monica, you're scaring me. I mean, you're, like you're, like, all chaotic and and not in a good way. Calm down. You don't see Ross getting all chaotic and twirly every time they come. That's because as far as my parents are concerned, Ross can do no wrong. You see, he's the prince. Apparently, they had some big ceremony before I was born. What? Ugly Naked Guy got a thigh master. Has anybody seen my engagement ring? Yeah, it's beautiful. Oh, like I wasn't dreading tomorrow enough having to give it back to him. Hi, Barry. Remember me? I'm the girl in the veil that stomped on your heart in front of your entire family. Oh, God. And now I'm gonna have to return the ring without the ring. Which makes it so much harder. Easy, Rachel. We'll find it. Won't wait. Okay, look, it's going to be okay. You're going to give it back to him. It'll all be over, and we'll eat a lot of ice. Okay. Okay. It's a little pear shaped diamond. I'll tell you what. Any diamond ring we find, we'll run it by you. All right, when'd you have it on last doy. Probably right before she lost it. You don't get a lot of doy these days. No, I had it this morning. I know. I had it when I was in the kitchen with Dinah. Oh, don't be mad. You didn't. Oh, I'm sorry. I gave you one job. Oh, but look how straight those noodles are. Monica, you know that's not how you look for an engagement ring and lasagna. I just can't do it. Boys, we're going in. That is not a happy high. Carol's pregnant. Oh, I found it. Yeah. Do that for another 2 hours, you might be where I am right about now. Kind of puts that whole pillow thing in, huh, man? Well, now, how do you fit into this whole thing? Well, Carol says she and Susan want me to be involved. But if I'm not comfortable with it, I don't have to be involved. Basically, it's totally up to me. She is so great. I miss her. What does she mean by involved? I mean, presumably the biggest part of your job is done and the most enjoyable. Phoebe, say something. Anyway, they want me to go down to this sonogram thing with them tomorrow. Wow. Yeah. Remember back when life was simpler and she was just a lesbian? Those were the days. So, what are you going to do? I have no idea. No matter what I do, though, I'm still going to be a father. Righteous. Oh, Martha Ludwin's daughter is going to call you. What's that curry taste? Curry. I think they're great. I really do. You remember the Ludwigs? The big one? Had a thing for you, didn't she? They all had a thing for him. I'm sorry. Why is this girl going to call me? Oh, she just graduated and she wants to be something in cooking or food or I don't know. Anyway, I told her you have a restaurant. No, Mom, I don't have a restaurant. I work in a restaurant. Well, they don't have to know that. Could you come and help me with spaghetti, please? Yes, we're having spaghetti. That's easy. Actually, we were going to have lasagna. Oh, I love lasagna. Well, we're not having it from why do you bring it up? You know how he latches on. I know this is going to sound unbelievably selfish on my part, but were you planning on bringing up the whole baby lesbian thing? Because I think it might take some to heat off me what that Rachel did to her life. We ran into her parents of the club. They were not playing very well. I'm not going to tell you what they spent on that wedding, but $40,000 is a lot of money. Well, at least she had the chance to leave a man at the altar. What's that supposed to mean? Nothing. It's an expression. No, it's not. Don't listen to your mother. You're independent and you always have been. Even when you were a kid and you were chubby and you had no friends. You were just fine. And you would read alone in your room and your puzzles. Look, there are people like Ross who need to shoot for the stars with his museum and his papers getting published. Other people are satisfied with staying where they are. I'm telling you, these are the people who never get cancer. They're happy with what they have. They're basically content. Like cows. Cows? Dad, she knows how much I love cows. And I read about these women trying to have it all, and I thank God our little Harmonica doesn't seem to have that. I'm telling you, sweetheart, you're going to be fine. Thank you, Daddy. Oh, so this does work. So, Ross, what's going on with you? Any stories? No news? No little anecdotes to share with the folks? Look, I realize you guys have been wondering what exactly happened between Carol and me, and so well, here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant with my child. And she and Susan are going to raise the baby.",711.9699999999999,english,train,movie:1,chunk:e02a,Algonauts2025/sub-01,Algonauts2025,,,,
3,Word,0.33,0.55,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e02a_run-0,,,You.,0.8800000000000001,english,train,movie:1,chunk:e02a,Algonauts2025/sub-01,Algonauts2025,,,,
4,Word,1.89,0.316,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e02a_run-0,,,What,2.206,english,train,movie:1,chunk:e02a,Algonauts2025/sub-01,Algonauts2025,,,,
5,Word,2.228,0.138,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e02a_run-0,,,you,2.366,english,train,movie:1,chunk:e02a,Algonauts2025/sub-01,Algonauts2025,,,,
6,Word,2.388,0.186,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e02a_run-0,,,guys,2.574,english,train,movie:1,chunk:e02a,Algonauts2025/sub-01,Algonauts2025,,,,
7,Word,2.612,0.214,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e02a_run-0,,,don't,2.826,english,train,movie:1,chunk:e02a,Algonauts2025/sub-01,Algonauts2025,,,,
8,Word,2.858,0.292,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e02a_run-0,,,understand,3.15,english,train,movie:1,chunk:e02a,Algonauts2025/sub-01,Algonauts2025,,,,
9,Word,3.22,0.282,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e02a_run-0,,,"is,",3.5020000000000002,english,train,movie:1,chunk:e02a,Algonauts2025/sub-01,Algonauts2025,,,,
