,type,start,duration,timeline,filepath,frequency,text,stop,language,split,movie,chunk,subject,study,offset,context,sentence,sentence_char
0,Video,0.0,718.68,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e02b_run-0,/Users/ricardo/Documents/GitHub/algonauts-2025/algonauts2025/download/algonauts_2025.competitors/stimuli/movies/friends/s1/friends_s01e02b.mkv,29.97002997002997,,718.68,,train,movie:1,chunk:e02b,Algonauts2025/sub-01,Algonauts2025,0.0,,,
1,Fmri,0.0,718.18,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e02b_run-0,method:_load_fmri?timeline=Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e02b_run-0,0.6711409395973155,,718.18,,train,movie:1,chunk:e02b,Algonauts2025/sub-01,Algonauts2025,,,,
2,Text,0.57,706.71,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e02b_run-0,,,"And she and Susan are going to raise the baby. And you knew about that? Folks are really that, huh? Well, you know, these people are pros. They know what they're doing. They take their time, they get the job done. Boy, I know they say that you can't change your parents. Boy, if you could, I'd want yours. Must be. It's even worse when you're twins. You're a twin? Oh, yeah. We don't speak. She's like this high powered, driven, career type. What does she do? She's a waitress. Identical? Yeah. People say we look alike, but I don't see it. All right, you guys, I kind of got to clean up now. Taylor, you're an only child, right? You didn't have any of this? Well, no. Although I did have an imaginary friend who my parents actually preferred. Hit the light, please. How long was I in there? I'm just cleaning up. Oh. You need any help? Okay, sure. Thanks. Anyway. So, you nervous about Barry tomorrow? A little. A lot. So, got any know it's someone who's recently been dumped? Well, you may want to steer clear of the word dumped. Chances are he's going to be this broken shell of a man, so you should try not to look too terrific. I know it'll be hard or hey, I'll go down there and I'll give Barry back his ring, and you can go with Carolyn. Susan. To the OBGYN. You've got Carol tomorrow. When did it get so complicated? Got me. Remember when we were in high school together? Yeah. I mean, didn't you think you were just going to meet someone, fall in love, and that'd be it? Ross? Yes. I never thought I'd be here. Hi. Sorry I'm late. I got stuck at work. There was this big dinosaur thing. Anyway hi. Ross. You remember Susan. How could I forget? Ross. Hello, Susan. Good shake. Good shake. So, we're just waiting for Dr. Oberman. Dr. Oberman. Okay. And is he? Of course. She familiar with our special situation. Yes, and she's very supportive. Great. Okay. That's great. No, I'm oh, thank you. That opens my cervix. Come on in. Are you sure? It's fine, it's fine. Robbie's going to be here for hours. So, how you doing? I'm okay. You look great. Yeah? Dr. Farber, Jason Greenspan is gagging. Be right there. Be back in a second. It I dubbed him. So, how's this all going to work? Well, the baby grows in a special place inside the mommy's. I mean, how's this going to work with us when important decisions have to be made? Give me a for instance. I don't okay, okay. How about with the baby's name? Marlon. Marlon if it's a boy. Minnie if it's a girl. As in Mouse, as in my grandmother. Still, you say Minnie, you hear mouse. How about Julia? Julia? We agreed on Minnie. It's funny. We agreed we'd spend the rest of our lives together, things change. Roll with the I believe Julia's on the table. Sorry about that. So, what have you been up to? Oh, not much. I got a job. That's great. Why are you so tan? Oh, yeah, I went to Aruba. Oh, no. You went on our honeymoon alone? No, I went with now, this may hurt. No, I went with Mindy. Mindy? My maid of honor mindy. Yeah, we're kind of a thing now. You got plugs carefully. Haven't quite taken yet. And you got lenses. Do you hate sticking your finger in your eye? Not for her. Listen, I really wanted to thank you. Okay. See, about a month ago, I wanted to hurt you more than I've ever wanted to hurt anyone in my life. And I'm an orthodontist. You know, you were right. I thought we were happy. We weren't happy. But with mindy. Now I'm happy. Spit. What? Me. Anyway, I guess this belongs to you. Or hey, maybe someday Mindy dadlight should settle for yeah, that's true. But I think it's a nice ring. And thank you for giving it to me. Well, thank you for giving it back. Hello. Oh, please. What's wrong with Helen? Helen Geller? I don't think so. Hello. It's not going to be Helen Geller. Thank you. No, I mean, it's not geller. What? It's going to be Helen willick. No, actually, we talked about Helen Willick bunch. Wait a minute. Why is she in the title? Because it's my baby, too. Really? I don't remember you making any sperm. We all know what a challenge that is. All right, you can stop. No, she gets a credit. Hey, I'm in there, too. You're not actually suggesting Helen Willick bunch geller. Because I think that borders on child abuse. Of course not. I'm suggesting geller willick bunch. Oh, no. You see what he's doing? He knows no one's going to say all those names. He knows they'll wind up calling her Geller. Then he gets his way. My way? You think this is my way? Believe me, of all the ways I ever imagined this moment in my life being, this is not my way. You know what? This is too hard. I can't do. How are we today? Any nausea? A little. Well, I was just wondering about the mother to be. But thanks for sharing my back. You know what? I'm going to go. I don't think I can be involved in this particular family. Lam. Well, isn't that amazing? What are we supposed to be seeing here? I don't know, but I think it's about to attack the Enterprise. Now, if you could tilt your head to the left and relax your eyes. It kind of looks like an old potato. Then don't do that. All right. Monica, what do you think? Are you welling up? No, you are. You are. You're welling up. I'm not. You're going to be an ant. Hi, Mindy. Hi. It's Rachel. Yeah, I'm fine. I saw. Yeah. Yeah, he told me. No, it's okay. Really, it's okay. I hope you two are very happy. I really do. And men, if everything works out and you guys end up getting married and having kids and everything, I just hope they have his old hairline and your old nose. It okay. I know it's a cheap shot, but I feel so much better now.",707.2800000000001,english,train,movie:1,chunk:e02b,Algonauts2025/sub-01,Algonauts2025,,,,
3,Word,0.57,0.164,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e02b_run-0,,,And,0.734,english,train,movie:1,chunk:e02b,Algonauts2025/sub-01,Algonauts2025,,,,
4,Word,0.772,0.202,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e02b_run-0,,,she,0.974,english,train,movie:1,chunk:e02b,Algonauts2025/sub-01,Algonauts2025,,,,
5,Word,1.012,0.154,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e02b_run-0,,,and,1.166,english,train,movie:1,chunk:e02b,Algonauts2025/sub-01,Algonauts2025,,,,
6,Word,1.188,0.358,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e02b_run-0,,,Susan,1.5459999999999998,english,train,movie:1,chunk:e02b,Algonauts2025/sub-01,Algonauts2025,,,,
7,Word,1.578,0.148,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e02b_run-0,,,are,1.726,english,train,movie:1,chunk:e02b,Algonauts2025/sub-01,Algonauts2025,,,,
8,Word,1.748,0.186,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e02b_run-0,,,going,1.934,english,train,movie:1,chunk:e02b,Algonauts2025/sub-01,Algonauts2025,,,,
9,Word,1.972,0.394,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e02b_run-0,,,to,2.366,english,train,movie:1,chunk:e02b,Algonauts2025/sub-01,Algonauts2025,,,,
