,type,start,duration,timeline,filepath,frequency,text,stop,language,split,movie,chunk,subject,study,offset,context,sentence,sentence_char
0,Video,0.0,703.37,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03a_run-0,/Users/ricardo/Documents/GitHub/algonauts-2025/algonauts2025/download/algonauts_2025.competitors/stimuli/movies/friends/s1/friends_s01e03a.mkv,29.97002997002997,,703.37,,train,movie:1,chunk:e03a,Algonauts2025/sub-01,Algonauts2025,0.0,,,
1,Fmri,0.0,703.28,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03a_run-0,method:_load_fmri?timeline=Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03a_run-0,0.6711409395973155,,703.28,,train,movie:1,chunk:e03a,Algonauts2025/sub-01,Algonauts2025,,,,
2,Text,4.81,691.4300000000001,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03a_run-0,,,"Hi, guys. Hey, baby. Hey. Oh, how'd it go? Not so good. He walked me to the subway and said, we should do this again. He said, we should do it again? That's good, right? No. Loosely translated, we should do this again means you will never see me naked. Since when? Since always. It's like dating language. Like, It's not you means, It is you. Or you're such a nice guy means, I'm going to be dating leather wearing alcoholics and complaining about them to you. I think we should see other people. Mean, I already am and everybody knows that. Oh, yeah. Cushions the blow. Yeah. It's like when you're a kid and your parents put your dog to sleep and they tell you it went off to live on some farm. That's funny. No, because our parents actually did send our dog off to live on a farm. Ross? Hello. The Milners Farm in Connecticut. The Milners. They had this unbelievable farm that they had horses and then rabbits that he could chase. And it oh, my God. Cheap, cheap. So how does it feel knowing you're about to die? Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die. Hey, that was really good. Yeah? Thanks. Let's keep going. Okay. So, what do you want from me, Demone? Huh? I just want to go back to my cell because in my cell I can smoke. Smoke away. I think this is probably why Demone smokes in his cell alone. Relax your hand. Let your wrist go. Not so much. Oh, all right. I'll try taking a puff. Right. Okay. No, give it to me. No, I'm not giving you a cigarette. It's fine. Look, do you want to get this part or not? Here. All right. Now, don't think of it as a cigarette. Think of it as the thing that has been missing from your hand. When you're holding it, you feel right. You feel complete. You miss it? No, not so much. All right. Now we smoke. Oh, my God. Chandler. Give me. No, no. You got your option. You can smoke it like this. Chandler. Or you can just hold it in your mouth and smoke it like this. Give me this cigarette. Give me. Give me. All right, you try. Thank you. Okay, how's this? Okay, that's not bad. All right. Now, when you're finished, it's really cool if you flick it. You kind of flick it. You flick it. That's good. All right. You keep practicing, and I'll go put out the sofa. I thought it had to do with the size of a guy's feet. No, they say it's the same as the distance from the tip of a guy's thumb to the tip of his index finger. That's ridiculous. Can I use either thumb? I'd rather go with the foot theory. All right, don't tell me, don't tell me. Decaf cappuccino for Joey. Coffee black, late and an iced tea I gave it pretty good. Excellent. Good for me. Okay, baby. Yeah, no, I'm just it's not it's not even worth it's. My bank. What did they do to you? Okay, I'm going through my mail and I open up their monthly statements. Easy. And there's 500 extra dollars in my account. Oh, Satan's minions at work again. Yes, because now I have to go down there and deal with them. What are you talking about? Keep it. It's not mine. I didn't earn it. If I kept it, it would be like stealing. Yeah, but if you spent it, it would be like shopping. Okay? Let's say I bought a really great pair of shoes. Do you know what I'd hear with every step I took? Not mine. Not mine. Not mine. And even if I was happy, okay, and skipping, I'd hear, knock, knock mine. Knock, knock mine. We're with you. We got it. Okay. I'd never be able to enjoy it. It would be like this giant karmic debt. Taylor, what are you doing? Hey, what are you doing? Oh, what is this? I'm smoking. I'm smoking. Oh, I can't believe you. You've been so good for three years. And this is my reward. Hold on a second, all right? Just think about what you went through the last time you quit. You know what? Forget about you. Think about what we went through the last time you quit. Okay, so this time I won't quit. I'm putting it out. Oh, no. I can't drink this now. All right, I'm going to go change. I've got a date. Just Alan again? How's it going? Going pretty good, you know? It's nice. We're having fun. So when do we get to meet the guy? Yeah. Say today's Monday. Never. Not after what happened with Steve. What are you talking about? We love Steve. Steve was sexy. Sorry. Look, I don't even know how I feel about him yet. Just give me a chance to figure that out. Well, then can we meet him? No, sorry. Joey. Joey, let it mean. Why should I let them meet him? I mean, I bring a guy home and within five minutes they're all over him. I mean, they're like coyotes picking off the weak members of the herd. Listen, as someone who's seen more than her share of bad beef I'll tell you, that is not such a terrible thing. Come on now, though, your friends are just looking out after you. I just wish that once I'd bring a guy home they actually liked. Well, you do realize that the ODS of that happening are a little slimmer if they never get to meet the know. I know. Do you mind if I whimper a little bit? Okay, I'm done. Let it go, Ross. Yeah, well, you didn't know Chi Chi. You all promise? Yeah, we promise. We'll be good. Chandler, do you promise to be good? You can come in, but your filter chip little buddy has to stay outside. Dear Ms. Buffet, thank you for calling attention to our error. We have credited your account to $500. We're sorry for the inconvenience and hope you'll accept this football phone as our free gift. Do you believe it? Now I have $1,000 and a football phone. What bank is this? Okay, who is it? Alan Chandler. He's here. Do I look okay? One more button. Okay, close. How about closed? I didn't know. Please be good. Do you remember how much you all like me? Hi, Alan. This is everybody. Everybody, this is Alan. I've heard so much about all these I'll call you, okay? Okay. Let's see. Allen bashing begin. Who's going to take the first shot? Come on. I'll go. Let's start with the way he kept picking at you know I'm sorry, I can't do this. Can't do it. We loved him. Wait a minute. We're talking about someone that I am going out with. That pimento trick. I will never look at an olive the same way again. And did you notice? Yeah, no, it was great. The way his smile was kind of crooked. Yes, like the man in the shoe. What shoe? From the nursery rhyme. There was a crooked man who had a crooked smile who lived in his shoe for a while so I think Alan will become the yardstick against which all future boyfriends will be measured. What future boyfriends? No, no. I think this could know. Really? Oh, yeah. I'd marry him just for his David Hasselhoff impression alone. You know I'm going to be doing that at parties, right? You know what I like most about him, though? What? The way he makes me feel about myself. How was the game? Well, fantastic. I have one question. How is that possible? Alex, he was unbelievable. He was like that Bugs Bunny cartoon where Bugs is playing all the positions, right? But instead of Bugs, it was first place, Alan. Second place, Alan.",696.24,english,train,movie:1,chunk:e03a,Algonauts2025/sub-01,Algonauts2025,,,,
3,Word,4.81,0.164,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03a_run-0,,,"Hi,",4.973999999999999,english,train,movie:1,chunk:e03a,Algonauts2025/sub-01,Algonauts2025,,,,
4,Word,5.012,0.394,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03a_run-0,,,guys.,5.406,english,train,movie:1,chunk:e03a,Algonauts2025/sub-01,Algonauts2025,,,,
5,Word,5.508,0.266,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03a_run-0,,,"Hey,",5.774,english,train,movie:1,chunk:e03a,Algonauts2025/sub-01,Algonauts2025,,,,
6,Word,5.812,0.374,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03a_run-0,,,baby.,6.186,english,train,movie:1,chunk:e03a,Algonauts2025/sub-01,Algonauts2025,,,,
7,Word,6.218,0.436,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03a_run-0,,,Hey.,6.654,english,train,movie:1,chunk:e03a,Algonauts2025/sub-01,Algonauts2025,,,,
8,Word,6.772,0.378,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03a_run-0,,,"Oh,",7.15,english,train,movie:1,chunk:e03a,Algonauts2025/sub-01,Algonauts2025,,,,
9,Word,7.22,0.326,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03a_run-0,,,how'd,7.545999999999999,english,train,movie:1,chunk:e03a,Algonauts2025/sub-01,Algonauts2025,,,,
