,type,start,duration,timeline,filepath,frequency,text,stop,language,split,movie,chunk,subject,study,offset,context,sentence,sentence_char
0,Video,0.0,703.32,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03b_run-0,/Users/ricardo/Documents/GitHub/algonauts-2025/algonauts2025/download/algonauts_2025.competitors/stimuli/movies/friends/s1/friends_s01e03b.mkv,29.97002997002997,,703.32,,train,movie:1,chunk:e03b,Algonauts2025/sub-01,Algonauts2025,0.0,,,
1,Fmri,0.0,703.28,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03b_run-0,method:_load_fmri?timeline=Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03b_run-0,0.6711409395973155,,703.28,,train,movie:1,chunk:e03b,Algonauts2025/sub-01,Algonauts2025,,,,
2,Text,0.17,692.9100000000001,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03b_run-0,,,"All the positions. Right? But instead of bugs, it was first place, Alan. Second place, Alan. I mean, it was like it was like he made us into a team. Yep. We sure showed those acidic jewelers a thing or two about softball. Nice. Can I ask you guys a question? Do you ever think that Alan is maybe sometimes what? I don't know, a little two? Oh, no, that's you'd never be too Alan? Yeah, it's his innate Alan ness that we adore. I personally, could have a gallon of hey, Lizzie. Hey, weird girl. I brought you out to fetch soup. You took out the vowel. Yes, but I left in the Y because, you know, sometimes why? I also have something else for you. 14? No. But would you like $1,000 in a football phone? What? Oh, my God. Oh, my God. There's really money in here. I know. Weird Girl, what are you doing? I want you to have it. I don't want it. No, I have to give you something. No, it's fine. You want my tinfoil hat? No. Because you need that. No, it's okay. Thanks. Please, let me do something. Okay. All right. I'll tell you what. You buy me a soda, and then we're even. Okay. Keep the change. Thanks, Lucy. Sure you don't want a pretzel? No, I'm fine. Thanks. See you. A thumb? I know, I know. I opened it and there it was, just floating in there like this tiny little hitchhiker. Well, maybe it's a contest. Like, collect all five. Does anyone want to see? No, thanks. It's worse than the song. Hey. This is so unfair. So I have a flaw. Big deal. Like Joey's constant knuckle cracking isn't annoying. And Ross, with his overpronouncing every single word. And Monica with that snort when she laughs. I mean, what the hell is that? I accept all those flaws. Why can't you accept me for this? Does the knuckle cracking bother everybody? Well, I could live without it. Was it, like, a little annoying? Or is it like when Phoebe chews her head? Don't listen to him, Phoebes. All right. I think it's endearing. Oh, you do? Do know there's nothing wrong with speaking correctly. Indeed there isn't. I should really get back to work. Yeah, otherwise someone might get what they actually ordered. Well, the hair comes out and the gloves come off. Did you ever go out with a guy your friends all really like? No. Okay, well, I'm going out with a guy my friends all really like. Were we talking about the coyotes here? All right. A cow got through. You believe it? You know what? I just don't feel the thing. I mean, they feel the thing. I don't feel the thing. Honey, you should always feel the thing. Listen, if that's how you feel about the guy Monica, dump him. No, it's just going to be really hard. He's a big boy. You'll get over it. No, he'll be fine. The other five I'm worried about. Do you have any respect for your body? Don't you realize what you're doing to yourself? Hey, you know, I've had it with you guys and your cancer and your emphysema and your heart disease. The bottom line is smoking is cool, and you know it. Chandler. It's Alan. He wants to speak to you. Really? He does? Hey, buddy. What's up? Oh, she told you about yeah, I have one now and then. Why? Yeah, now it's not that big. Well, that's true. Gee, no one's ever put it like that before. Okay, thanks. God, he's good. If only he were a woman. Yeah. Lamb chop. Lamb chop. How old is that sock? If I had a sock on my hand for 30 years, I'd be talking too. Okay, I think it's time to change somebody's nicotine patch. Where's Joey? Joey ate my last stick of gum, so I killed him. Do you think that was wrong? Thinking to cross the hole. Thanks. There you go. OOH, I'm alive with pleasure now. Hey, Phoebe, you're going to have the rest of that Pop Tart? Phoebes does anyone want the rest of this Pop Tart? Hey, I might. Those stupid soda people gave me $7,000 for the thumb. Oh, are you kidding? My God. And on my way over here, I stepped in gum. What is up with the universe? What's going on? Nothing. I just think it's nice when we're all here together. Even nicer when everyone gets to wear their underwear. Joey? Oh, God. Okay, guys, we have to talk. Wait, I'm getting a deja vu. No, I'm not. All right, we have to talk. There it is. Okay. It's about Alan. Oh, speaking of which, would you tell him that we're on for the Renaissance Fair next weekend? Guys, before you get into that, there's something that you should know. Oh, man. There's really no easy way to say this. I've decided to break up with Alan. Is there somebody just things change. People change. We didn't change. So that's it? It's over? Just like that? You let your guard down. You start to really care about someone and I could go on pretending okay? No, that wouldn't be fair to me. It wouldn't be fair to Alan. It wouldn't be fair to you. Yeah, well, who wants mean? I just want things know the way they were. I'm sorry. Oh, she's sorry. I feel better. I just can't believe this. I mean, with the holidays coming up, I wanted him to meet my family. I'll meet someone else, they'll be other Alan. Are you guys going to be okay? Hey, we'll be fine. We're just going to need a little time. I understand. Wow, I'm really sorry. Yeah, I mean, I'm sorry too. But I got to tell you, I am a little relieved. Relieved? Yeah, well, I mean, I had a great time with you. I just can't stand your friends. Remember when we went to Central Park and rented boats that was fun. Yeah, you could roll like a Viking. Hi. So, how'd it go? You know. Did he mention us? He says he's really going to miss you guys. Oh, you had a rough day. You have no idea. Come here. That's it. I'm getting cigarettes. No. I don't care. I don't care. Game's over. I'm weak. I've got to smoke. I've got to have the smoke. If you never smoke again, I'll give you $7,000. Yeah, all right.",693.08,english,train,movie:1,chunk:e03b,Algonauts2025/sub-01,Algonauts2025,,,,
3,Word,0.17,0.116,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03b_run-0,,,All,0.28600000000000003,english,train,movie:1,chunk:e03b,Algonauts2025/sub-01,Algonauts2025,,,,
4,Word,0.308,0.138,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03b_run-0,,,the,0.446,english,train,movie:1,chunk:e03b,Algonauts2025/sub-01,Algonauts2025,,,,
5,Word,0.468,0.438,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03b_run-0,,,positions.,0.906,english,train,movie:1,chunk:e03b,Algonauts2025/sub-01,Algonauts2025,,,,
6,Word,0.938,0.148,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03b_run-0,,,Right?,1.0859999999999999,english,train,movie:1,chunk:e03b,Algonauts2025/sub-01,Algonauts2025,,,,
7,Word,1.108,0.138,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03b_run-0,,,But,1.246,english,train,movie:1,chunk:e03b,Algonauts2025/sub-01,Algonauts2025,,,,
8,Word,1.268,0.138,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03b_run-0,,,instead,1.4060000000000001,english,train,movie:1,chunk:e03b,Algonauts2025/sub-01,Algonauts2025,,,,
9,Word,1.428,0.09,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03b_run-0,,,of,1.518,english,train,movie:1,chunk:e03b,Algonauts2025/sub-01,Algonauts2025,,,,
10,Word,1.524,0.214,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03b_run-0,,,"bugs,",1.738,english,train,movie:1,chunk:e03b,Algonauts2025/sub-01,Algonauts2025,,,,
11,Word,1.754,0.084,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03b_run-0,,,it,1.838,english,train,movie:1,chunk:e03b,Algonauts2025/sub-01,Algonauts2025,,,,
12,Word,1.844,0.074,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03b_run-0,,,was,1.9180000000000001,english,train,movie:1,chunk:e03b,Algonauts2025/sub-01,Algonauts2025,,,,
13,Word,1.924,0.122,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03b_run-0,,,first,2.046,english,train,movie:1,chunk:e03b,Algonauts2025/sub-01,Algonauts2025,,,,
14,Word,2.068,0.186,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03b_run-0,,,"place,",2.254,english,train,movie:1,chunk:e03b,Algonauts2025/sub-01,Algonauts2025,,,,
15,Word,2.292,0.214,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03b_run-0,,,Alan.,2.506,english,train,movie:1,chunk:e03b,Algonauts2025/sub-01,Algonauts2025,,,,
16,Word,2.538,0.196,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03b_run-0,,,Second,2.734,english,train,movie:1,chunk:e03b,Algonauts2025/sub-01,Algonauts2025,,,,
17,Word,2.772,0.154,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03b_run-0,,,"place,",2.9259999999999997,english,train,movie:1,chunk:e03b,Algonauts2025/sub-01,Algonauts2025,,,,
18,Word,2.948,0.602,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03b_run-0,,,Alan.,3.55,english,train,movie:1,chunk:e03b,Algonauts2025/sub-01,Algonauts2025,,,,
19,Word,8.05,0.316,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03b_run-0,,,I,8.366000000000001,english,train,movie:1,chunk:e03b,Algonauts2025/sub-01,Algonauts2025,,,,
20,Word,8.388,0.426,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03b_run-0,,,"mean,",8.814,english,train,movie:1,chunk:e03b,Algonauts2025/sub-01,Algonauts2025,,,,
21,Word,8.932,0.186,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03b_run-0,,,it,9.118,english,train,movie:1,chunk:e03b,Algonauts2025/sub-01,Algonauts2025,,,,
22,Word,9.124,0.17,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e03b_run-0,,,was,9.294,english,train,movie:1,chunk:e03b,Algonauts2025/sub-01,Algonauts2025,,,,
