,type,start,duration,timeline,filepath,frequency,text,stop,language,split,movie,chunk,subject,study,offset,context,sentence,sentence_char
0,Fmri,0.0,749.47,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04a_run-0,method:_load_fmri?timeline=Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04a_run-0,0.6711409395973155,,749.47,,train,movie:1,chunk:e04a,Algonauts2025/sub-01,Algonauts2025,,,,
1,Video,0.0,749.11,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04a_run-0,/Users/ricardo/Documents/GitHub/algonauts-2025/algonauts2025/download/algonauts_2025.competitors/stimuli/movies/friends/s1/friends_s01e04a.mkv,29.97002997002997,,749.11,,train,movie:1,chunk:e04a,Algonauts2025/sub-01,Algonauts2025,0.0,,,
2,Text,3.13,739.56,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04a_run-0,,,"Phoebe. Okay, okay. If I were omnipotent for a day, I would want world peace. No more hunger, good things for the rainforest and bigger boobs. So you took mine. Chandler, what about you? If I were omnipotent for a day, I'd make myself omnipotent for ever. See? There's always one guy. If I had a wish, I'd wish for three more wishes. Hey, buddy. Hey, Joey? What would you do if you were omnipotent? Probably kill myself. Excuse me? Hey, if little Joey's dead, then I got no reason to joey omnipotent. You are? I had no idea. I thought it was, like, a theoretical question. How does she do that? I cannot sleep in a public place. Libraries, airplanes, movie theaters when you were little, you slept at the Grand Canyon. Hello, mom and dad never took us to the Grand Canyon. Mom and dad took us to the Grand Canyon. Would you look at her? She is so peaceful. No, it's okay. You just knotted off again. What's going on with you? I got no sleep last night. Why? My grandmother has this new boyfriend. And they're both kind of insecure in bed. And deaf. They're constantly, like, having to reassure each other that they're having a good time. You have no idea how loud they are. Well, if you want, you can stay with Rachel and me tonight. Thanks. 596 97. See, I told you. Less than 100 steps from our place to here. You got way too much free time, Mr. Birthday Boy. Ross, check it out. Hockey tickets. Rangers penguins tonight at the Garden. And we're taking you. Happy birthday, pal. We love you, man. Funny. My birthday was seven months ago. So I'm guessing you had an extra ticket and couldn't decide which one of you got to bring a date? Well, aren't we Mr. The glasses half empty. Oh, my God. Is today the 20th? October 20. I was hoping you wouldn't remember. What's wrong with the 20th? Eleven days before Halloween? All the good costumes are gone. Today's the day Carol and I first consummated our physical relationship. Sex. You told your sister that? Believe me, I told everyone. You know what? I better pass on the game. I think I'm just going to go home and think about my ex wife and her lesbian lover. The hell with hockey. Let's all do that. Come on, Ross. You me, joey ice. Guys night out. Come on, what do you say? Big, huh? What are you doing? I have no on Ross. All. All right, right. Maybe it will take my mind off it. You promise to buy me a big foam finger? You got it. My first paycheck. Look at the window. There's my name. Hi, me. I remember the day I got my first paycheck. There was a cave in one of the mines and eight people were killed. Wow. You worked in a mine? I worked in a Dairy Queen mine. Isn't this exciting? I earned this. I wiped tables for it. I steamed milk for it, and it was totally not worth it. Who's FICA? Why is he getting all my money? Chandler, look at that. Oh, this is not that bad. You're fine. Yeah, for a first job. You can totally, totally live on this. Oh, yeah. Hey, by the way, great service. Hockey. Hockey. You. Rachel? I swear I've seen birds do this on Wild Kingdom. What are you guys doing here? Well, we were in the city shopping, and your mom said you work here. And it's true. Look at you in the apron. You look like you're in a play. Gosh, look at you. You are so big. I can't believe know. I know. I'm a duplex. Kiki, you look phenomenal. I mean, you've lost, like, a ton of weight. And you should really, really it's time to stop. You look perfect. Anyway, so, what's going on with you? Well, guess who my dad's making partner in his firm? No. While we're on the subject of news look, I have elbows. Cross passes it up to Leech. Leech spots Messier in the crease is the pass. We'll take a brief time out while Messier stops to look at some women's shoes. Carol was wearing boots just like those the night that we first in fact, she never took them off. Sorry. I can't believe Kane failed. What? Peach pit? Yes, Bunny. Peach pit. That night we had peaches. Actually, nectarines, but basically could have been a peach. Then we got dressed and I walked her to the bus stop. I'm fine. Hey, that woman's got an ass like Carol's. What? Thought we were trying to find stuff. Oh, come on, you guys. Tell me all the dirt. Well, the biggest news is still you dumping Barry at the altar. All right, let's talk reality for a second. Okay. When are you coming home? What kind? I'm not. Come on, this is us. I'm not. This is what I'm doing now. I've got this job. I even do my own laundry. I mean, this is what I'm doing now. Waitressing? I'm not just waitressing. I write the specials on the specials board. And I take the dead flowers out of the vase. Sometimes our turret lets me put the little chocolate blobbies on the cookies. Well, your mom didn't tell us about the blobbies. Hey, Rach. How was it with your friends? Okay. How would you like some Tiki death punch? What's that? Well, it's rum. And we thought since Phoebe was staying over tonight we'd have kind of, like, a slumber party thing. We got some trashing magazines. We got cookie dough. We got twister. And I brought operation, but I lost the Tweezers. So we can't operate, but we can prep the guy. Rach, it's the Vista card people. Oh, God. Ask them what they want. Could you please tell me what this is in reference to? Yes. Hold on. They say there's been some unusual activity on your account. But I haven't used my card in weeks. That is the unusual activity. Look, they just want to see if you're okay. Want to know if I'm okay? Okay. They want to know if I'm okay. Okay, let's see. Well, let's see. The FICA guys took all my money. Everyone I know is either getting married or getting pregnant or getting promoted. And I'm getting coffee. And it's not even for me. So if that sounds like I'm okay okay then you can tell them I'm okay. Okay? Rachel has left the building. Can you call back? All right, come on it. Let's play Twister. What? There was ice there that night with Carol? Plastic seats, 4000 angry Pittsburgh fans? No, actually, I was just saying it looks like we're not sitting together. But now that you mention it, there was ice there that night. It was the first frost. Just sit. Sit down. Sit. You should feel great about yourself. You're doing this amazing independent thing. Monica, what is so amazing? I gave up, like, everything. And for what? You are just like Jack. Jack from downstairs? No, Jack and the ah, the other Jack. Yeah, right. See, he gave up something but then he got those magic beans. And then he woke up and there was this big plant outside of its window full of possibilities and stuff. And he lived in a village, and you live in the village. Okay, but Jack gave up a cow. I gave up an orthodontist. Okay, I know I didn't love him, but oh, see, Jack did love the cow. But see, it was a plan. You know? It was clear. Everything was figured out. And now everything's just kind of like floopy. Yeah, you're not the only one. I mean, half the time we don't know where we're going. I mean, you just got to figure at some point it's all going to come together and it's just going to be unfloopy. Like that's a word. Okay, but, Monica, what if it doesn't come together? Phoebe? Well, because you just I don't like this question. Okay, see you guys, what if we don't get magic beans? I mean, what if all we've got are beans? Get him. Get him. Get him. Yes.",742.6899999999999,english,train,movie:1,chunk:e04a,Algonauts2025/sub-01,Algonauts2025,,,,
3,Word,3.13,0.512,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04a_run-0,,,Phoebe.,3.642,english,train,movie:1,chunk:e04a,Algonauts2025/sub-01,Algonauts2025,,,,
4,Word,3.786,0.356,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04a_run-0,,,"Okay,",4.142,english,train,movie:1,chunk:e04a,Algonauts2025/sub-01,Algonauts2025,,,,
5,Word,4.196,0.362,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04a_run-0,,,okay.,4.558,english,train,movie:1,chunk:e04a,Algonauts2025/sub-01,Algonauts2025,,,,
6,Word,4.644,0.202,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04a_run-0,,,If,4.846,english,train,movie:1,chunk:e04a,Algonauts2025/sub-01,Algonauts2025,,,,
7,Word,4.868,0.09,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04a_run-0,,,I,4.958,english,train,movie:1,chunk:e04a,Algonauts2025/sub-01,Algonauts2025,,,,
8,Word,4.964,0.122,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04a_run-0,,,were,5.086,english,train,movie:1,chunk:e04a,Algonauts2025/sub-01,Algonauts2025,,,,
9,Word,5.108,0.518,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04a_run-0,,,omnipotent,5.6259999999999994,english,train,movie:1,chunk:e04a,Algonauts2025/sub-01,Algonauts2025,,,,
