,type,start,duration,timeline,filepath,frequency,text,stop,language,split,movie,chunk,subject,study,offset,context,sentence,sentence_char
0,Fmri,0.0,749.47,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,method:_load_fmri?timeline=Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,0.6711409395973155,,749.47,,train,movie:1,chunk:e04b,Algonauts2025/sub-01,Algonauts2025,,,,
1,Video,0.0,749.06,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,/Users/ricardo/Documents/GitHub/algonauts-2025/algonauts2025/download/algonauts_2025.competitors/stimuli/movies/friends/s1/friends_s01e04b.mkv,29.97002997002997,,749.06,,train,movie:1,chunk:e04b,Algonauts2025/sub-01,Algonauts2025,0.0,,,
2,Text,0.17,739.31,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,,,"Get him. Get him. Yes. You're not laughing now, are you, pal? That Budy. That's why you need a bunch of toothless guys hitting each other with sticks. Pass it. He's open. Shoot. Oh, hey, look, we're on that TV thing. Oh, it says to call this number if you're not completely satisfied with this candy bar. Well, I'm not completely satisfied. Yeah, well, the label promises nutty goodness. Listen, it's kind of an emergency. Well, I guess you'd know that, or we'd be in the predicament room. Hold on. Fill these out. Sit over there. Look, I don't want to make any trouble, okay? But I'm in a lot of pain here, all right? My face is dented. Well, you'll have to wait your turn. Well, how long do you think it'll be? Any minute now. Hey, this dude. I wake up and I don't cry ain't no hope I'm so sorry, you guys. I didn't mean to bring you down. No, you were right. I don't have a plan. Beat the guy, Phoebe. What? Do you have a plan? I don't even have a plan. I want a mushroom, green pepper and onion. No, that's not what we ordered. We ordered a fat free crust with extra cheese. Wait. You're not g Stephanopoulos. Oh, man, my dad's gonna kill me. Wait. Did you say G. Stephanopoulos? Yeah, this one goes across the street. I must have given him yours. Oh, bonehead, bonehead. When you do that, you're only kidding yourself. Wait. Was this a small Mediterranean guy with curiously intelligent good looks? Yeah, it sounds about right. Was he wearing a stunning blue suit and a power tie? No, pretty much just a towel. Oh, God. Do you guys want me to take this back? What are you, nuts? We've got George Stephanopoulos'pizza. Thieves. Who is George Snuffle. Up again? That's pigbird's friend? I see pizza. Oh, I want to see. Let me see. Let me see. Hello. Who are we spying on? You know, the White House advisor? Clinton's campaign guy. The one with the great hair, sexy smile, really cute butt? Oh, him. The little guy. Oh, I love wait, I see a woman. Tell me it's his mother. Definitely not his mother. Oh, no, wait, she's walking across the floor. She's walking. She's walking. She's going for the pizza. Hey, that's not for you, bitch, you excuse me? Look, we've been here for over an hour and a lot of people less sick than my friend have gone in. I mean, that guy with the toe thing. Who's? He sleeping. Oh, come on, Dora, don't be mad. I know we both said some things we didn't mean, but that doesn't mean we still don't love each other. You know, I feel like I've lost her. Fuck. Come on, push me. No. Push me. No. I'm going to get in trouble. Don't be a baby. Push me. Push me. All right, I'm going to push you. Okay. How about I push you like this? Are you going to be in a wheelchair the rest of your life, pally. Wally. I'm so very sorry. Can I sign you? Light still out? Yeah, maybe they're napping. Please. They're having sex. Shut up. So, what do you think George is like? I think he's yeah, yeah. I think you have to draw him out. And then when you do, he's a preppy animal. What do you think the guys are like? Our guys? Yeah, our guides. Oh, I don't know. I feel funny talking about that. Oh, come on. Okay. Well, Joey's like one of those little kitty rides out in front of a supermarket. You know? You just have to put the quarter in and it just goes. I don't know. I think he might surprise you. One time he was helping me put on my coat and he was really tender. Now, chandler's hard to read. He's like one of those repressed guys that you would have to seduce. I think that's part of the act. I have a feeling that Chandler is a lot more sophisticated than he seems. That's kind of sexy. Don't, Ross. No, guys, please. He is my brother. No, I know exactly what you mean. He can be really smooth. Can't you just picture him in bed? Really don't want to. Come on. I remember the moonlight coming in through the open window and her face had the most incredible glow. Yes, the moon, the glow. The magical feeling. You did this part. Could I get some painkillers over here, please? He's right. Enough already. What is the big deal about today? So you slept with her for the first time. So what? You slept with her for seven years after that. Look, it's just a little more complicated. But what is it that she left you? That she likes women? That she left you for another woman that likes women? A little louder, okay? I think there's a man on the 12th floor in a coma who didn't quite hear you. Then what? My first time with Carol was my first what? It was my first time with Carol. In your whole life, you've only been with one? Oh, boy. Hockey was a big mistake. There's a whole bunch of stuff we could have done tonight. Okay, I got one. Do you remember that vegetarian pate that I made that you love? So huh? Well, unless goose is a okay, fine. Fine. Now I don't feel so bad about sleeping with Jason Hurley. What? You slept with Jason? He's already broken up. How long? Just a couple hours. Oh, that's okay. I got one. Anyway, the valentine Tommy relish and left in your locker was really from me. Excuse me? Hello. Like he was really going to send you one. She was a big girl. Really? Well, at least big girls don't pee in their pants in 7th grade. I was laughing. You made me laugh. I thought there he is. There he is. Where? Right where we've been looking all night. Oh, George, baby. Drop the towel. Drop the towel. You can do it. Drop the towel. Wow, man. Can you believe he's only had sex with one woman? I think it's great. You know? It's sweet. It's romantic. Really? No. You kidding? The guy's a freak. I jump. Hey, man. Buddy. Oh, that's attractive. Oh, I thought you were great in Silence of the Lambs. Oh, come on. Admit it. All things considered, you had fun tonight. Fun? Where was the fun? Tell me specifically, which part was the fun part? Where's my puck? The kid has it. Excuse me, that's my puck. I found it. Finders keepers, losers weepers. You got to do it, man. Oh, yeah? Well, I'm rubber, your glue, whatever you listen. Give me back my puck. No. Yes. How about no. Come here. Give me my pausing in my er. Now, that was funny. Okay, Monica. Right foot, red. We could have played Monopoly, but no thanks. Okay, Phoebes. Right hand, blue. Switch places with me and Phoebe. Could be your number. Nothing. It's a twister thing. The rules are on the back of the box. Hello? Oh, Rachel. It's the Visa card people. Oh, okay. Will you take my place? All right. Yes, this is Rachel. Hello? Oh, yeah. No, I know. I haven't been using it much. Oh, well, thanks. But I'm okay. Really. The grain to the grain, to the grain. I've got magic beans. No, never mind. I'm fine.",739.4799999999999,english,train,movie:1,chunk:e04b,Algonauts2025/sub-01,Algonauts2025,,,,
3,Word,0.17,0.644,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,,,Get,0.8140000000000001,english,train,movie:1,chunk:e04b,Algonauts2025/sub-01,Algonauts2025,,,,
4,Word,1.012,0.602,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,,,him.,1.6139999999999999,english,train,movie:1,chunk:e04b,Algonauts2025/sub-01,Algonauts2025,,,,
5,Word,1.732,0.33,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,,,Get,2.062,english,train,movie:1,chunk:e04b,Algonauts2025/sub-01,Algonauts2025,,,,
6,Word,2.116,0.65,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,,,him.,2.766,english,train,movie:1,chunk:e04b,Algonauts2025/sub-01,Algonauts2025,,,,
7,Word,2.948,0.73,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,,,Yes.,3.678,english,train,movie:1,chunk:e04b,Algonauts2025/sub-01,Algonauts2025,,,,
8,Word,3.844,0.294,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,,,You're,4.138,english,train,movie:1,chunk:e04b,Algonauts2025/sub-01,Algonauts2025,,,,
9,Word,4.154,0.18,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,,,not,4.334,english,train,movie:1,chunk:e04b,Algonauts2025/sub-01,Algonauts2025,,,,
10,Word,4.372,0.358,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,,,laughing,4.7299999999999995,english,train,movie:1,chunk:e04b,Algonauts2025/sub-01,Algonauts2025,,,,
11,Word,4.81,0.244,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,,,"now,",5.053999999999999,english,train,movie:1,chunk:e04b,Algonauts2025/sub-01,Algonauts2025,,,,
12,Word,5.092,0.202,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,,,are,5.294,english,train,movie:1,chunk:e04b,Algonauts2025/sub-01,Algonauts2025,,,,
13,Word,5.332,0.202,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,,,"you,",5.534,english,train,movie:1,chunk:e04b,Algonauts2025/sub-01,Algonauts2025,,,,
14,Word,5.572,0.534,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,,,pal?,6.106,english,train,movie:1,chunk:e04b,Algonauts2025/sub-01,Algonauts2025,,,,
15,Word,6.218,0.276,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,,,That,6.494,english,train,movie:1,chunk:e04b,Algonauts2025/sub-01,Algonauts2025,,,,
16,Word,6.532,0.246,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,,,Budy.,6.7780000000000005,english,train,movie:1,chunk:e04b,Algonauts2025/sub-01,Algonauts2025,,,,
17,Word,6.794,0.144,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,,,That's,6.938,english,train,movie:1,chunk:e04b,Algonauts2025/sub-01,Algonauts2025,,,,
18,Word,6.954,0.132,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,,,why,7.085999999999999,english,train,movie:1,chunk:e04b,Algonauts2025/sub-01,Algonauts2025,,,,
19,Word,7.108,0.09,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,,,you,7.1979999999999995,english,train,movie:1,chunk:e04b,Algonauts2025/sub-01,Algonauts2025,,,,
20,Word,7.204,0.17,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,,,need,7.374,english,train,movie:1,chunk:e04b,Algonauts2025/sub-01,Algonauts2025,,,,
21,Word,7.412,0.106,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,,,a,7.518,english,train,movie:1,chunk:e04b,Algonauts2025/sub-01,Algonauts2025,,,,
22,Word,7.524,0.074,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,,,bunch,7.598,english,train,movie:1,chunk:e04b,Algonauts2025/sub-01,Algonauts2025,,,,
23,Word,7.604,0.122,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e04b_run-0,,,of,7.726,english,train,movie:1,chunk:e04b,Algonauts2025/sub-01,Algonauts2025,,,,
