,type,start,duration,timeline,filepath,frequency,text,stop,language,split,movie,chunk,subject,study,offset,context,sentence,sentence_char
0,Video,0.0,697.46,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e05a_run-0,/Users/ricardo/Documents/GitHub/algonauts-2025/algonauts2025/download/algonauts_2025.competitors/stimuli/movies/friends/s1/friends_s01e05a.mkv,29.97002997002997,,697.46,,train,movie:1,chunk:e05a,Algonauts2025/sub-01,Algonauts2025,0.0,,,
1,Fmri,0.0,697.32,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e05a_run-0,method:_load_fmri?timeline=Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e05a_run-0,0.6711409395973155,,697.32,,train,movie:1,chunk:e05a,Algonauts2025/sub-01,Algonauts2025,,,,
2,Text,0.33,691.1999999999999,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e05a_run-0,,,"You, would you let it go? It's not that big a deal. Not that big a deal? It's amazing, okay? You just reach in there, there's one little maneuver and bam. A bra right out the sleeve. All right, as far as I'm concerned, there is nothing a guy can do that even comes close. Am I right here? Oh, come on. You guys can pee standing up. We can? Okay, I'm trying. That all right. You know what blows my mind? Women can see breasts anytime they want. You just look down, and there they are. How you get any work done is beyond me. Okay? You know what I don't get? The way guys can do so many mean things and then not even caretable. Orgasms. There you go. So Saturday night the big night. Date night. Saturday night. Saturday night. No plans, huh? Not a one. Not even, say, breaking up with? Oh, right, right. Shut up, Chandler. Nobody likes breaking up with someone. Except for Kevin Millmore. May he rot in hell. You just gotta do it. No, I know, but it's just so hard, you know? I mean, you're sitting there with her, she has no idea what's happening. And then you finally get up the courage to do it. There's that horrible, awkward moment when you've handed her the notes and try to run out of the restaurant before she's actually finished the notes. Why do you have to break up with her? Be a man. Just stop calling. If you want, I'll do it with you. Oh, thanks, but I think she'd feel like we're ganging up on her. No, I mean, you break up with Janice, and I'll break up with Tony. Tony? Are you breaking up with Tony? Yeah. I know he's sweet, but it's just not fun know? I don't know if it's me or it's hunger strike or I don't does anybody want anything else? Oh, yeah. Last week you had a wonderful nutty, chocolatey kind of a cakey pie thing. Nothing. Just I'm fine. What's the matter? Why it's so scrunchie? It was my father. He wants to give me a Mercedes convertible. That guy, he burns me up. Yeah, well, it's a Mercedes if I move back home. It was horrible. He called me young lady. OOH, I hate when my father calls me that. Did he give you that whole you're not up to this thing? Oh, yeah. Yeah. Actually, I got the extended disco version with three choruses of you'll never make it on your uh huh. Hi, Joey. My God, Angela. Wow, being dumped by you obviously agrees with her. Are you going to go over there? No. Yeah. No. Okay, but not yet. I don't want to seem too eager. One Mississippi, two, three Mississippi. That seems pretty cool. Hey, Angela. Joey. You look good. That's because I'm wearing a dress that accents my boots. You don't say. So, Rachel, what are you doing tonight? Oh, big glamour night. Me and Monica at Laundorama. Oh, you want to hear a freakish coincidence? Guess who's doing laundry there too? Me. Was that not clear? Hey, why don't I just join you both there? Don't you have a laundry room in your building? Yes, I do have a laundry room in my building. But there's a rat problem. Apparently, they're attracted to the dryer sheets and they're going in fine. But they're coming out all fluffy anyway. Say seven ish? Sure. Forget it, Joey. I'm with Bob now. Bob? Who the hell's Bob? Bob is great. He's smart, he's sophisticated and he has a real job. You? You go on three auditions a month and you call yourself an actor? But Bob? Come on. We were great together. And not just at the fun stuff, but like talking too. Yeah, well, sorry, Joey. You said, let's just be friends. So guess what? What? We're just fine. Fine. So why don't the four of us go out and have dinner together know, as friends. What four of know? You and Bob and me and my girlfriend, Monica. Monica, I'm telling you, this guy is perfect for you. Forget it. Not after your cousin who could belch the alphabet. Come on, this guy's great. His name's Bob. He's Angela's brother. He's smart, he's sophisticated and he has a real job. Me? I go on three auditions a month and call myself an actor. But Bob is oh God help it. What? Ugly Naked guys laying kitchen tile. I'm asking a favor know? I'm thinking if I do this thing for her brother maybe Angela will come back to me. What's going on here? You go out with tons of girls. I know, but one of a kind. Like a snowflake, or something else. Like a snowflake? Yeah. I made a huge mistake. I never should have broke up with her. Will you help me, please? Hold on a second. You need to not touch any of those. Okay, bye. Well, Monica's not coming. It's just going to be me and Rachel. Well, hold on there, camper. You sure you've thought this through? It's laundry. The thinking through is pretty minimal. See? It's just you and Rachel. Just the two of you? Yeah. This is a date? You're going on a date? Yeah, I haven't done that in a while. Wait. Is it a date if she doesn't know we're going on a date? Yes, absolutely. Saturday night. All rules apply. So what are you saying here? I should shave again, pick up some wine, what? Well, you may want to rethink the dirty underwear. What? This is basically the first time she's going to see your underwear. Do you want it to be dirty? No. Oh, and the fabric softener. Okay, now, what is wrong with my snuggles? It what it says. I'm a sensitive, warm kind of guy. Like a little fuzzy bear. All right, I can pick something else up on the list. Thank you. So what does this Bob guy look like? Is he tall, short? Yep. Which which what? You've never met Bob, have you? No, but oh, my God, Joey. For all we know, this guy could be horribly hey, Joey. Horribly attractive. I'll be shutting up now. Where are they? Where are they? This is nice. We never do anything, just the two of us. Great. Maybe tomorrow we can rent a car, run over some puppies. EW. I don't want to do that. Here we go. Okay. Have a good breakup. Hey, Janice. Oh, my God. I am so glad you called me. I had the most supremely awful day. Hey, that's not good. Can I get an espresso and a late over here, please? We got the proofs back from that photo shoot. You know, the one with the little vegetables? Anyway, they pretty much sucked. So I blew off the rest of the afternoon. I went shopping, and I got you I'm looking. I'm looking. I'm looking. What did you get me there? I got you these. Bullwinkle socks. That's so sweet. Well, I knew you had the Rockies and so I figured, you know, you could wear Bullwinkle and Bullwinkle. Or you could wear Rocky and Rocky. Or you can mix and match, moose and squirrel, whatever you want. Well, I'm going to get another espresso. More late? No, I'm still working on mine. That's it? Yeah, it was really hard. Oh, yeah, the hug looked pretty brutal. Okay, you weren't there. Sorry. How's it going with Janice? Going? Things are not going. She got me. Sucks. Oh, these go with your Rockies? Oh, my God. She must really care about you. I'm sorry. Coming through. Move. Excuse me. I was kind of using that machine. Yeah, well, now you're kind of not. But I saved it. I put my basket on top. Oh, I'm sorry. Is that your basket? Yes. It's really pretty. Unfortunately, I don't see suds. What? No suds, no save. Okay. A. What's going on? Hi. Nothing. This horrible woman just took my machine. Was your basket on top? Yeah, but there were no suds. So? Well, you know, no suds. No suds.",691.53,english,train,movie:1,chunk:e05a,Algonauts2025/sub-01,Algonauts2025,,,,
3,Word,0.33,0.55,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e05a_run-0,,,"You,",0.8800000000000001,english,train,movie:1,chunk:e05a,Algonauts2025/sub-01,Algonauts2025,,,,
4,Word,1.81,0.364,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e05a_run-0,,,would,2.174,english,train,movie:1,chunk:e05a,Algonauts2025/sub-01,Algonauts2025,,,,
5,Word,2.212,0.202,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e05a_run-0,,,you,2.414,english,train,movie:1,chunk:e05a,Algonauts2025/sub-01,Algonauts2025,,,,
6,Word,2.452,0.154,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e05a_run-0,,,let,2.606,english,train,movie:1,chunk:e05a,Algonauts2025/sub-01,Algonauts2025,,,,
7,Word,2.628,0.186,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e05a_run-0,,,it,2.814,english,train,movie:1,chunk:e05a,Algonauts2025/sub-01,Algonauts2025,,,,
8,Word,2.852,0.298,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e05a_run-0,,,go?,3.15,english,train,movie:1,chunk:e05a,Algonauts2025/sub-01,Algonauts2025,,,,
9,Word,3.22,0.278,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e05a_run-0,,,It's,3.498,english,train,movie:1,chunk:e05a,Algonauts2025/sub-01,Algonauts2025,,,,
