,type,start,duration,timeline,filepath,frequency,text,stop,language,split,movie,chunk,subject,study,offset,context,sentence,sentence_char
0,Video,0.0,697.37,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e05b_run-0,/Users/ricardo/Documents/GitHub/algonauts-2025/algonauts2025/download/algonauts_2025.competitors/stimuli/movies/friends/s1/friends_s01e05b.mkv,29.97002997002997,,697.37,,train,movie:1,chunk:e05b,Algonauts2025/sub-01,Algonauts2025,0.0,,,
1,Fmri,0.0,697.32,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e05b_run-0,method:_load_fmri?timeline=Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e05b_run-0,0.6711409395973155,,697.32,,train,movie:1,chunk:e05b,Algonauts2025/sub-01,Algonauts2025,,,,
2,Text,0.33,684.81,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e05b_run-0,,,"Yeah, but there were no suds, so well, you know, no suds, no say, no suds. Excuse me. Hold on a second. This is my friend's machine. Hey, hey, hey. Our stuff wasn't in it. Hey, hey. That's not the rule, and you know it's. Yeah. All right, show's over. Nothing to see here. Okay, let's do laundry. That was amazing. I can't even send back soup. Well, that's because you're such a sweet, gentle hey, you must need detergent. What's that? Uber Weiss. It's new. It's German. It's extra tough. Rach, are you going to separate those? Oh, God. Oh, am I being like, a total laundry spaz? I mean, am I supposed to use, like, one machine for shirts and another machine for pants? Have you never done this before? Well, not myself, but I know other people that have. Okay, you caught me. I'm a laundry virgin. Well, don't worry. I'll use the gentle cycle. Okay, basically, you want to use one machine for all your whites, okay? A whole nother machine for your colors, and third for your delicates. And that would be your bras and your under panty things. Okay, well, what about these are white cotton panties? Would they go with white through a delicate? That would be a judgment call. So cute. So where did you guys grow? Brooklyn High? Cleveland. How did that happen? Oh, my God. What? I suddenly had the feeling I was falling, but I'm not. So you and Angela? Yep, pretty much. You're a lucky man. Yeah. You know what I miss the most about her? That cute nibbly noise she makes when she eats. Like a happy little squirrel or a weasel. I never really oh, yeah, yeah. Listen for it. Monica. Monica is yeah. Yeah, she is. But it's not going to last. She's too much for me in bed. Sexually. I've got to tell you, vav is terrific. Yeah, isn't he? It is so great to meet a guy who's smart and funny and has an emotional age beyond, like, eight. You know what else? He's unbelievable in bed. Wow. My brother never even told me when he lost his virginity. That's nice. Chase, you can do this. It's just like pulling off a bandaid. Okay, just do it really fast, and then the wound is exposed. Go, Janice. Hi, Janice. Okay, here we go. I don't think we should go out anymore, Janice. All right, well, there you go. Janet, this isn't about you. Oh, I know. This is not about me. This is totally about your fear of commitment. What fear of commitment? I don't have a fear of commitment. I don't. I don't. I'm ready to commit anytime. Really? Okay, I know this is going to sound really stupid, but I feel that if I can do know, if I can actually do my own laundry, there isn't anything I can't do. That does not sound stupid to me. No, it's like okay, the first time I had to make dinner for myself after Carol left me. I'm sorry. That's all the time we have. Next on uh oh. The laundry is done. It's a song. The laundry song that we sang. Uhoh the laundry is done no, nothing le low. The laundry is done okay. All right. It's just that you left a red sock in with all your whites and now everything's kind of pink. Everything's pink? Yeah. Except for the red sock, which is still red. I'm sorry. Please don't be upset. It could happen to anyone. But it didn't. It happened to me. God, I'm going to look like a big marshmallow peep. What am I doing? My father's right. I can't live on my own. I can't even do laundry. Something went wrong with Underdog and they couldn't get his head to inflate. So anyway, his head is, like, flopping down Broadway, right? And I'm just thinking how inappropriate this eye joey, could we check it in the light, please? Oh, my God. What? Hello. Were we at the same table? It's like cocktails in appalachia. Come on, they're close. Close? She's got her tongue in his ear. You've never gotten a little rambunctious with rock? Joey, this is sick. It's disgusting. It's not really true, is it? What are you used to say? What's true? Oh, my God. What were you thinking? All right, look. I'm not proud of this, okay? Well, maybe I am. A, wait. Come on. We like him. I want her. He likes you. Really? Yeah. Listen, if we put our heads together, between the two of us, we can break them up. I'm so sorry. I can't believe I did this. I just couldn't stop laughing at your Norman Mailer story. One more plate of chicken wings over. Here's the thing, Janice, you know, I mean, it's like we're different, you know? I'm like the bing, bing, bing. You're like the boom, boom, boom. Oh, my God. I'm so sorry. Ow. Are you okay? I'll be right back. I hit her in the eye. I hit her in the eye. This is the worst breakup in the history of the world. Oh, my how many of those have you had? Oh, I don't know. A million. Chandler. Easy, easy. Go to. Go to your happy place. I'm fine. I'm fine. I'm fine. All right, I'm not fine. Here she comes. She's kind. Wait here, okay? Breathe. How do you do that? It's like a gift. We should always, always break up together. Oh, I'd like that. You got the clothes clean now. That's the important part. Oh, I guess. Except everything looks like jammies now. It's we had this cart. Yeah, well, I had a 24 inch waist. You lose things. Now, come on. Get out of my way. I'm sorry. Maybe I wasn't being clear. This was our cart. Hey, hey. There weren't any clothes in it. Hey, quit making up rules. Let's go. Come on. This is my car. You have to all right, listen, Mitzi. If you want this cart, you're going to have to take me with it. You were incredible. A brand new woman, ladies and gentlemen. More clothes in the dryer. I'm fine, I'm fine. Go. Are you sure you're okay? Yeah. Does it still hurt? Yeah. What a neat idea. All your clothes match. I'm going to do this. Hi. Hey. How'd it go? Excellent. We ripped that couple apart and kept the pieces for ourselves. What a beautiful story. Hey, I'm fine, by the way. Oh, I'm so where's Chandler? Oh, he needed some time to grieve and I had to do it.",685.14,english,train,movie:1,chunk:e05b,Algonauts2025/sub-01,Algonauts2025,,,,
3,Word,0.33,0.164,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e05b_run-0,,,"Yeah,",0.494,english,train,movie:1,chunk:e05b,Algonauts2025/sub-01,Algonauts2025,,,,
4,Word,0.532,0.154,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e05b_run-0,,,but,0.686,english,train,movie:1,chunk:e05b,Algonauts2025/sub-01,Algonauts2025,,,,
5,Word,0.708,0.138,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e05b_run-0,,,there,0.846,english,train,movie:1,chunk:e05b,Algonauts2025/sub-01,Algonauts2025,,,,
6,Word,0.868,0.09,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e05b_run-0,,,were,0.958,english,train,movie:1,chunk:e05b,Algonauts2025/sub-01,Algonauts2025,,,,
7,Word,0.964,0.17,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e05b_run-0,,,no,1.134,english,train,movie:1,chunk:e05b,Algonauts2025/sub-01,Algonauts2025,,,,
8,Word,1.172,0.662,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e05b_run-0,,,"suds,",1.834,english,train,movie:1,chunk:e05b,Algonauts2025/sub-01,Algonauts2025,,,,
9,Word,1.962,0.532,Algonauts2025_subject-sub-01_task-friends_movie-1_chunk-e05b_run-0,,,so,2.4939999999999998,english,train,movie:1,chunk:e05b,Algonauts2025/sub-01,Algonauts2025,,,,
